title,event_type,date,hall,description,url,price
Belle and Sebastian,Concert,"ma 2 mrt. 2026, 20:30",Paradiso - Grote Zaal,"Belle and Sebastian vieren in 2026 het 30-jarig jubileum van hun eerste twee albums, ‘Tigermilk’ en ‘If You’re Feeling...",https://www.podiuminfo.nl/concert/436786/Belle-and-Sebastian/Paradiso/,EUR 45.40 [UITVERKOCHT]
Belle and Sebastian,Concert,"di 3 mrt. 2026, 20:30",Paradiso - Grote Zaal,"Belle and Sebastian vieren in 2026 het 30-jarig jubileum van hun eerste twee albums, ‘Tigermilk’ en ‘If You’re Feeling...",https://www.podiuminfo.nl/concert/436787/Belle-and-Sebastian/Paradiso/,EUR 45.40 [UITVERKOCHT]
Maude Latour,Concert,"wo 4 mrt. 2026, 20:00",Paradiso - Bovenzaal,Toekomstgerichte pop met breed klinkende elektronica en alle queer joy,https://www.podiuminfo.nl/concert/451019/Maude-Latour/Paradiso/,EUR 17.00
Santrofi @ Tolhuistuin,Concert,"wo 4 mrt. 2026, 20:30",Tolhuistuin - Tolhuistuin Club,"De achtkoppige Ghanese band Santrofi (vernoemd naar een mythische vogel) is een van de grote namen in de highlife, de...",https://www.podiuminfo.nl/concert/444429/Santrofi/Tolhuistuin/,EUR 26.70
Altın Gün,Concert,"do 5 mrt. 2026, 19:30",Paradiso - Grote Zaal,Deze Amsterdamse band met een Turks-Nederlandse achtergrond veroverd de wereld met een onuitwisbare fusie. De band...,https://www.podiuminfo.nl/concert/443696/Altin-Gun/Paradiso/,EUR 34.30 [UITVERKOCHT]
Garth.,Concert,"do 5 mrt. 2026, 19:30",Paradiso - Bovenzaal,Garth. is een singer-songwriter en producent uit Brooklyn die snel naam heeft gemaakt. In november 2023 bracht Garth....,https://www.podiuminfo.nl/concert/444716/Garth-/Paradiso/,[GEANNULEERD]
FAY,Concert,"do 5 mrt. 2026, 22:00",Paradiso - Bovenzaal,Stoere pop met catchy teksten,https://www.podiuminfo.nl/concert/446905/FAY/Paradiso/,EUR 17.00
Anouk Wolf,Concert,"vr 6 mrt. 2026, 20:00",Paradiso - Bovenzaal,"Anouk Wolf is zangeres en songwriter, bekend om haar dromerige, nostalgische liedjes met een filmische sound. Haar...",https://www.podiuminfo.nl/concert/442115/Anouk-Wolf/Paradiso/,[GEANNULEERD]
Terno Rei,Concert,"vr 6 mrt. 2026, 22:00",Paradiso - Bovenzaal,"Het Braziliaanse viertal Terno Rei beweegt zich tussen dreampop, post-punk en alternatieve rock, met dromerige gitaren,...",https://www.podiuminfo.nl/concert/445917/Terno-Rei/Paradiso/,EUR 17.00
La Casa Del Perreo,Concert,"vr 6 mrt. 2026, 23:45",Paradiso - Grote Zaal,"Clubnacht met reggaeton, dembow en urban latin sounds",https://www.podiuminfo.nl/concert/450874/La-Casa-Del-Perreo/Paradiso/,EUR 8.50
Yumi Zouma @ Tolhuistuin,Concert,"za 7 mrt. 2026, 19:30",Tolhuistuin - Tolhuistuin Club,"Yumi Zouma bestaat uit Christie Simpson (zang, keyboards), Josh Burgess (gitaar, bas, zang, keyboards), Charlie Ryder...",https://www.podiuminfo.nl/concert/444584/Yumi-Zouma/Tolhuistuin/,EUR 21.70
Boy In Space,Concert,"za 7 mrt. 2026, 19:30",Paradiso - Bovenzaal,Na jaren van afwezigheid keert Boy In Space eindelijk terug naar een wereld die hij heeft gemist. Met meer dan een half...,https://www.podiuminfo.nl/concert/445294/Boy-In-Space/Paradiso/,EUR 17.00
Maxïmo Park,Concert,"za 7 mrt. 2026, 20:00",Paradiso - Grote Zaal,"Maxïmo Park werd in 2000 opgericht in Newcastle en maakte al snel naam met scherpe, energieke nummers vol...",https://www.podiuminfo.nl/concert/437983/Maximo-Park/Paradiso/,EUR 33.80
Afro Fest,Concert,"za 7 mrt. 2026, 23:45",Paradiso - Grote Zaal,"Bij Afro Fest, het grootste afrofeest van Amsterdam, kan je je uitleven op de beste afrobeats, hiphop, r&b, dancehall,...",https://www.podiuminfo.nl/concert/450828/Afro-Fest/Paradiso/,EUR 17.00
Amanda Bergman,Concert,"zo 8 mrt. 2026, 19:30",Paradiso - Bovenzaal,De Zweedse singer-songwriter Amanda Bergman is al lang een van de meest fascinerende stemmen in de Scandinavische...,https://www.podiuminfo.nl/concert/448433/Amanda-Bergman/Paradiso/,EUR 20.20
Sorry @ Tolhuistuin,Concert,"zo 8 mrt. 2026, 20:30",Tolhuistuin - Tolhuistuin Club,"Sorry keren terug met ‘COSPLAY’, hun derde album dat op 7 november via Domino verschijnt. Het Londense collectief rond...",https://www.podiuminfo.nl/concert/438063/Sorry/Tolhuistuin/,EUR 24.70
Jade (UK),Concert,"zo 8 mrt. 2026, 20:30",Paradiso - Grote Zaal,Na wereldwijd succes met Little Mix schittert JADE nu helemaal solo met een debuutalbum en bijbehorende tour! in het...,https://www.podiuminfo.nl/concert/441103/Jade-UK-/Paradiso/,EUR 39.30 [UITVERKOCHT]
The Destruction Of The Cult Of The Sun,Concert,"ma 9 mrt. 2026, 19:30",Paradiso - Bovenzaal,"Eben Tenner, de drijvende kracht achter The Destruction Of The Cult Of The Sun, brengt een psychedelische mix van...",https://www.podiuminfo.nl/concert/438405/The-Destruction-Of-The-Cult-Of-The-Sun/Paradiso/,EUR 16.00
Jade (UK),Concert,"ma 9 mrt. 2026, 20:00",Paradiso - Grote Zaal,Na wereldwijd succes met Little Mix schittert JADE nu helemaal solo met een debuutalbum en bijbehorende tour! in het...,https://www.podiuminfo.nl/concert/442113/Jade-UK-/Paradiso/,EUR 39.30 [UITVERKOCHT]
Antoon,Concert,"di 10 mrt. 2026, 20:30",Paradiso - Grote Zaal,Van elektronisch tot pop: Antoon heeft zowel als producer als artiest een eigen geluid ontwikkeld op het snijvlak van...,https://www.podiuminfo.nl/concert/445790/Antoon/Paradiso/,EUR 42.40 [UITVERKOCHT]
Antoon,Concert,"wo 11 mrt. 2026, 19:30",Paradiso - Grote Zaal,Van elektronisch tot pop: Antoon heeft zowel als producer als artiest een eigen geluid ontwikkeld op het snijvlak van...,https://www.podiuminfo.nl/concert/446063/Antoon/Paradiso/,EUR 42.40 [UITVERKOCHT]
Misha & Bemyfiasco,Concert,"wo 11 mrt. 2026, 22:00",Paradiso - Bovenzaal,"Combinatie van r&b, hiphop en soul",https://www.podiuminfo.nl/concert/440448/Misha-Bemyfiasco/Paradiso/,[GEANNULEERD]
Will Knox,Concert,"do 12 mrt. 2026, 19:30",Paradiso - Bovenzaal,De Britse singer-songwriter Will Knox heeft de gave om je binnen een paar seconden mee te nemen in een verhaal....,https://www.podiuminfo.nl/concert/443145/Will-Knox/Paradiso/,EUR 15.00
Leith Ross @ Tolhuistuin,Concert,"do 12 mrt. 2026, 19:30",Tolhuistuin - Tolhuistuin Club,"Afkomstig uit een klein stadje nabij Ottawa, Ontario, vertaalt singer-songwriter Leith Ross (die/hun) hun eerlijke en...",https://www.podiuminfo.nl/concert/445887/Leith-Ross/Tolhuistuin/,EUR 22.70
Ofenbach,Concert,"do 12 mrt. 2026, 20:30",Paradiso - Grote Zaal,"Ofenbach is het Franse duo Dorian Lo en César de Rummel, bekend om hun energieke mix van house met pop- en...",https://www.podiuminfo.nl/concert/433939/Ofenbach/Paradiso/,EUR 27.20
Bokoesam,Concert,"vr 13 mrt. 2026, 19:30",Paradiso - Grote Zaal,De veelzijdige rapper en TikTok sensatie Bokoesam bracht in 2014 zijn debuut EP ‘Nog Nooit Meegemaakt’ uit. Typische...,https://www.podiuminfo.nl/concert/436925/Bokoesam/Paradiso/,EUR 23.20
Common Saints @ Tolhuistuin,Concert,"vr 13 mrt. 2026, 19:30",Tolhuistuin - Tolhuistuin Club,"Common Saints is het project van producer en songwriter Charlie Perry, bekend van zijn werk met onder anderen Jorja...",https://www.podiuminfo.nl/concert/446838/Common-Saints/Tolhuistuin/,EUR 20.70 [UITVERKOCHT]
Ava Lava,Concert,"vr 13 mrt. 2026, 19:30",Paradiso - Bovenzaal,"Mix van jazz, r&b en soul van Amsterdamse zangeres en componist",https://www.podiuminfo.nl/concert/451118/Ava-Lava/Paradiso/,EUR 15.00
Joshua Idehen @ Bitterzoet,Concert,"vr 13 mrt. 2026, 20:30",Bitterzoet - Bitterzoet,De Brits-Nigeriaanse dichter en muzikant Joshua Idehen maakt muziek die beweegt tussen dansvloer en diepgang. Vanuit...,https://www.podiuminfo.nl/concert/444585/Joshua-Idehen/Bitterzoet/,EUR 19.70
O'Flynn,Concert,"vr 13 mrt. 2026, 22:00",Paradiso - Bovenzaal,O’Flynn heeft zich sinds zijn debuut in 2015 ontwikkeld tot een vaste waarde binnen de Britse elektronische scene. Met...,https://www.podiuminfo.nl/concert/446634/OFlynn/Paradiso/,EUR 16.00
Skin On Skin,Concert,"vr 13 mrt. 2026, 23:45",Paradiso - Grote Zaal,"Dj en producer mixt moeiteloos techno, house en alternatieve hiphop",https://www.podiuminfo.nl/concert/449450/Skin-On-Skin/Paradiso/,EUR 30.30
Ist Ist,Concert,"za 14 mrt. 2026, 19:00",Paradiso - Grote Zaal,"IST IST is een Engelse postpunkband met een kenmerkend en vintage klinkend, donker geluid. De vierkoppige band ontstond...",https://www.podiuminfo.nl/concert/447850/Ist-Ist/Paradiso/,EUR 31.30
The Antlers,Concert,"za 14 mrt. 2026, 20:30",Paradiso - Bovenzaal,The Antlers is een Amerikaanse indierockband onder leiding van songwriter Peter Silberman en drummer Michael Lerner. De...,https://www.podiuminfo.nl/concert/438406/The-Antlers/Paradiso/,EUR 28.70
Lammer All Night Long,Concert,"za 14 mrt. 2026, 23:45",Paradiso - Grote Zaal,"Rotterdamse dj draait mix van rave, trance en house",https://www.podiuminfo.nl/concert/447899/Lammer-All-Night-Long/Paradiso/,EUR 26.20 [UITVERKOCHT]
INSAYNO,Concert,"zo 15 mrt. 2026, 19:30",Paradiso - Bovenzaal,Rapper met een poëtische inslag,https://www.podiuminfo.nl/concert/446950/INSAYNO/Paradiso/,EUR 16.00
The Hellp,Concert,"zo 15 mrt. 2026, 19:30",Paradiso - Grote Zaal,Indiesleaze-duo met cultstatus,https://www.podiuminfo.nl/concert/448301/The-Hellp/Paradiso/,EUR 23.20
Klezmagic @ Tolhuistuin,Concert,"zo 15 mrt. 2026, 20:30",Tolhuistuin - Tolhuistuin Club,"Klezmagic is een Amsterdams gezelschap dat invloeden uit de Balkan, Klezmer-traditie en Arabische regio's combineert...",https://www.podiuminfo.nl/concert/450407/Klezmagic/Tolhuistuin/,EUR 17.50
The Divine Comedy,Concert,"ma 16 mrt. 2026, 19:30",Paradiso - Grote Zaal,The Divine Comedy is het muzikale alter ego van de Noord-Ierse singer-songwriter Neil Hannon. Hij staat bekend om zijn...,https://www.podiuminfo.nl/concert/427481/The-Divine-Comedy/Paradiso/,EUR 39.30
Folk Bitch Trio @ Bitterzoet,Concert,"ma 16 mrt. 2026, 19:30",Bitterzoet - Bitterzoet,"Folk Bitch Trio is een Australische band bestaande uit Gracie Sinclair, Jeanie Pilkingto en Heide Peverelle. Het...",https://www.podiuminfo.nl/concert/445356/Folk-Bitch-Trio/Bitterzoet/,EUR 21.20
Brigitte Calls Me Baby,Concert,"ma 16 mrt. 2026, 19:30",Paradiso - Bovenzaal,"Brigitte Calls Me Baby uit Chicago brengt een mix van klassieke pop, new wave en indierock ten tafel. De band...",https://www.podiuminfo.nl/concert/446321/Brigitte-Calls-Me-Baby/Paradiso/,EUR 17.00
Geese,Concert,"di 17 mrt. 2026, 19:30",Paradiso - Grote Zaal,"Indieformatie Geese uit Brooklyn, New York, komt terug met hun derde studioalbum ‘Getting Killed’. Nadat producer...",https://www.podiuminfo.nl/concert/436982/Geese/Paradiso/,EUR 25.20 [UITVERKOCHT]
Joan Shelley @ Tolhuistuin,Concert,"di 17 mrt. 2026, 20:30",Tolhuistuin - Tolhuistuin Zonzij,"Als artieste is Joan Shelley altijd verbonden aan een plek; of dat nu Chicago, IJsland, Kentucky of Toronto is. Nu...",https://www.podiuminfo.nl/concert/446876/Joan-Shelley/Tolhuistuin/,EUR 21.20
anaiis,Concert,"di 17 mrt. 2026, 22:00",Paradiso - Bovenzaal,De Frans-Senegalese artieste anaiis brengt een mix van emotionele helderheid en introspectieve schoonheid naar het...,https://www.podiuminfo.nl/concert/449927/anaiis/Paradiso/,EUR 17.00
Honahlei,Concert,"wo 18 mrt. 2026, 19:30",Paradiso - Bovenzaal,Honahlei is een indie-folkduo bestaande uit de Costa Ricaanse zangeres Michelle Gonzalez en de Oostenrijkse muzikant...,https://www.podiuminfo.nl/concert/445646/Honahlei/Paradiso/,EUR 15.00
Melle,Concert,"do 19 mrt. 2026, 19:30",Paradiso - Bovenzaal,De jonge Nederlandse indiefolkartiest Melle (door Douwe Bob ‘De beste zanger van Nederland’ genoemd) heeft een oude...,https://www.podiuminfo.nl/concert/446589/Melle/Paradiso/,EUR 19.20
Maro - So Much Has Changed Tour,Concert,"do 19 mrt. 2026, 20:00",Paradiso - Grote Zaal,"De Portugese multi-instrumentalist, songwriter en producer MARO maakt dromerige pop waarin werelden samenkomen. Na haar...",https://www.podiuminfo.nl/concert/445317/Maro-So-Much-Has-Changed-Tour/Paradiso/,EUR 31.30
Couch @ Tolhuistuin,Concert,"do 19 mrt. 2026, 20:30",Tolhuistuin - Tolhuistuin Club,"Voordat ze ook maar één keer samen op het podium stonden, werkte Couch bijna drie jaar lang via FaceTime aan hun...",https://www.podiuminfo.nl/concert/436228/Couch/Tolhuistuin/,EUR 23.70 [UITVERKOCHT]
Lézard,Concert,"vr 20 mrt. 2026, 19:30",Paradiso - Bovenzaal,"In een steeds chaotischer wordende wereld, maakt Gents collectief Lézard het een stukje draaglijker met hun...",https://www.podiuminfo.nl/concert/436926/Lezard/Paradiso/,EUR 16.00
Marc Broussard,Concert,"vr 20 mrt. 2026, 20:00",Paradiso - Grote Zaal,"Soulzanger Marc Broussard. De zanger uit Louisiana bezweert de geesten van de klassieke R&B, soul en rock met een stem...",https://www.podiuminfo.nl/concert/439835/Marc-Broussard/Paradiso/,EUR 36.30
